episode,step,cart_pos,pole_angle,cart_vel,pole_vel,action_idx,action_val,reward
0,1,0.13198232650756836,0.1813667118549347,0.0,-0.0,4,5.0,0.9658252596855164
0,2,0.1341511458158493,0.18486396968364716,0.37810948491096497,0.601292610168457,0,-5.0,0.9647420048713684
0,3,0.13574697077274323,0.18777108192443848,-0.009187288582324982,0.04178757965564728,3,2.5,0.9638597369194031
0,4,0.1367795318365097,0.19010590016841888,0.1852138638496399,0.36482295393943787,0,-5.0,0.9636002779006958
0,5,0.13653208315372467,0.1907869577407837,-0.1871853619813919,-0.17085662484169006,2,0.0,0.9640806913375854
0,6,0.1348121613264084,0.1895238757133484,-0.16380175948143005,-0.10674116760492325,2,0.0,0.9643223881721497
0,7,0.13331596553325653,0.18888527154922485,-0.14218172430992126,-0.04546433687210083,3,2.5,0.9637351632118225
0,8,0.13307449221611023,0.19043321907520294,0.062040261924266815,0.2925531566143036,0,-5.0,0.9637207984924316
0,9,0.1316472887992859,0.19047081470489502,-0.3012462854385376,-0.2292669713497162,1,-2.5,0.9649908542633057
0,10,0.12778662145137787,0.18710735440254211,-0.4537077844142914,-0.43174758553504944,0,-5.0,0.9675219058990479
0,11,0.12141402810811996,0.1802167445421219,-0.7797170281410217,-0.8982154726982117,1,-2.5,0.9709502458572388
0,12,0.11296013742685318,0.1704399585723877,-0.8982210755348206,-1.0513042211532593,0,-5.0,0.975166916847229
0,13,0.10231272876262665,0.1575850397348404,-1.1938748359680176,-1.4758095741271973,4,5.0,0.9783709049224854
0,14,0.09303950518369675,0.14706814289093018,-0.7275570631027222,-0.741227388381958,3,2.5,0.9798393249511719
0,15,0.08718287944793701,0.1419883519411087,-0.48061293363571167,-0.3420928120613098,0,-5.0,0.9815330505371094
0,16,0.08052169531583786,0.13589318096637726,-0.8092820644378662,-0.8230181336402893,1,-2.5,0.9839218258857727
0,17,0.07176440209150314,0.12679988145828247,-0.9284541606903076,-0.984994649887085,0,-5.0,0.9868846535682678
0,18,0.060801196843385696,0.11452209949493408,-1.225766897201538,-1.4214462041854858,1,-2.5,0.9900665879249573
0,19,0.04804175719618797,0.09966663271188736,-1.3158174753189087,-1.5426170825958252,4,5.0,0.992162823677063
0,20,0.03760203719139099,0.0885278731584549,-0.8394115567207336,-0.7960209250450134,3,2.5,0.9931269288063049
0,21,0.030662668868899345,0.08290413022041321,-0.5852214097976685,-0.3919677138328552,2,0.0,0.9936779141426086
0,22,0.025092318654060364,0.07951172441244125,-0.5371686220169067,-0.30560290813446045,2,0.0,0.9940792918205261
0,23,0.019980929791927338,0.07694613933563232,-0.4928513467311859,-0.225458025932312,3,2.5,0.9941036701202393
0,24,0.016357744112610817,0.07678744941949844,-0.26478859782218933,0.13710348308086395,2,0.0,0.9938429594039917
0,25,0.013853387907147408,0.07846659421920776,-0.24094396829605103,0.1854471117258072,2,0.0,0.9935010075569153
0,26,0.011577950790524483,0.08061642944812775,-0.21880123019218445,0.2314319759607315,1,-2.5,0.9933450818061829
0,27,0.008450981229543686,0.08157788217067719,-0.3852996528148651,-0.012461807578802109,4,5.0,0.9927541613578796
0,28,0.006923131179064512,0.08512255549430847,0.021939747035503387,0.6263245344161987,0,-5.0,0.9922122955322266
0,29,0.005038960371166468,0.08824802935123444,-0.3492957353591919,0.06848509609699249,2,0.0,0.992022693157196
0,30,0.0017298886086791754,0.0893157497048378,-0.31856411695480347,0.1290956735610962,2,0.0,0.9917242527008057
0,31,-0.0012845518067479134,0.09097129851579666,-0.2900782525539398,0.18642444908618927,2,0.0,0.9913166761398315
0,32,-0.004025653470307589,0.09318431466817856,-0.26364317536354065,0.2408572882413864,1,-2.5,0.9911085367202759
0,33,-0.007575900759547949,0.094294473528862,-0.425944983959198,0.005592918023467064,4,5.0,0.9903842806816101
0,34,-0.009490763768553734,0.09805993735790253,-0.01551024615764618,0.6505028605461121,0,-5.0,0.9897014498710632
0,35,-0.011725837364792824,0.10148197412490845,-0.38281717896461487,0.10134368389844894,2,0.0,0.989406943321228
0,36,-0.015350930392742157,0.10292237997055054,-0.34894317388534546,0.16872216761112213,2,0.0,0.9889714121818542
